"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C11","*CAPC1005X55N","99.9mm","76.75mm","99.9mm","76.75mm","100.337mm","76.75mm","T","180.00","Cap"
"C10","*CAPC1005X55N","86.75mm","81.5mm","86.75mm","81.5mm","86.75mm","81.063mm","T","90.00","Cap"
"C9","*CAPC1608X100N","85.5mm","66.5mm","85.5mm","66.5mm","84.741mm","66.5mm","T","0.00","Cap"
"C8","*CAPC1005X55N","85.75mm","81.5mm","85.75mm","81.5mm","85.75mm","81.063mm","T","90.00","Cap"
"C7","*CAPC1608X100N","86.5mm","69.5mm","86.5mm","69.5mm","86.5mm","70.259mm","T","270.00","Cap"
"C6","*CAPC1005X55N","111.3mm","64mm","111.3mm","64mm","111.737mm","64mm","T","180.00","CGA2B3X7R1V104K050BB"
"C5","*CAPC1608X100N","113.35mm","66.75mm","113.35mm","66.75mm","113.35mm","67.509mm","T","270.00","GRM188R61E106MA73D"
"C4","*CAPC1608X100N","108.35mm","66.75mm","108.35mm","66.75mm","108.35mm","67.509mm","T","270.00","GRM188R61E106MA73D"
"C3","*CAPC1005X55N","102.4mm","74.9mm","102.4mm","74.9mm","102.837mm","74.9mm","T","180.00","Cap"
"C2","*CAPC1608X100N","104.15mm","80.65mm","104.15mm","80.65mm","103.391mm","80.65mm","T","0.00","Cap"
"C1","1608[0603]","117.7mm","67.9mm","117.7mm","67.9mm","118.4mm","67.9mm","T","180.00","Cap"
"J2","*CUI_CRJ007-MLG-TH_CRJ007-MLG-TH(Primary)","65.915mm","76.25mm","63.5mm","76.25mm","72.39mm","81.965mm","T","270.00","CRJ007-MLG-TH"

